,Real GDP growth (Annual percent change),2024,2025,2026,2027,2028
0,Afghanistan,-0.12616608,-0.66237485,-1.1985838,-1.7347928,-2.2710018
1,Albania,3.1733875,3.1733875,3.1733875,3.1733875,3.1733875
2,Algeria,1.922687,1.9307514,1.9388158,1.9468802,1.9549446
3,Andorra,1.4031556,1.3981599,1.3925358,1.3864603,1.3800709
4,Angola,2.352625,2.352625,2.352625,2.352625,2.352625
5,Antigua and Barbuda,3.3542414,3.3542414,3.3542414,3.3542414,3.3542414
6,Argentina,1.806141,1.806141,1.806141,1.806141,1.806141
7,Armenia,4.262381,4.2465396,3.9280508,3.7055333,3.4771323
8,Aruba,1.2334541,1.1526421,1.0730703,0.9947239,0.9175837
9,Australia,2.406732,2.3847451,2.3627582,2.340771,2.3187838
10,Austria,1.6119603,1.6097342,1.607511,1.605291,1.6030741
11,Azerbaijan,3.00016,3.00016,3.00016,3.00016,3.00016
12,"Bahamas, The",1.6284757,1.6284757,1.6284757,1.6284757,1.6284757
13,Bahrain,2.521573,2.521573,2.521573,2.521573,2.521573
14,Bangladesh,7.025316,7.109325,7.1933336,7.2773423,7.361351
15,Barbados,0.84427685,0.84427685,0.84427685,0.84427685,0.84427685
16,Belarus,0.5048214,0.3640638,0.26255313,0.18934634,0.13655156
17,Belgium,1.4965276,1.4937415,1.483891,1.4734662,1.4630566
18,Belize,2.3451753,2.2258608,2.1065464,1.9872319,1.8679173
19,Benin,5.7718563,5.84793,5.924003,6.0000763,6.07615
20,Bhutan,3.5984216,3.5399191,3.4814167,3.4229143,3.3644118
21,Bolivia,2.0941863,2.0941863,2.0941863,2.0941863,2.0941863
22,Bosnia and Herzegovina,2.9151022,2.9151022,2.9151022,2.9151022,2.9151022
23,Botswana,3.7958448,3.7958448,3.7958448,3.7958448,3.7958448
24,Brazil,1.6556197,1.6556197,1.6556197,1.6556197,1.6556197
25,Brunei Darussalam,1.0694181,1.0694181,1.0694181,1.0694181,1.0694181
26,Bulgaria,2.4553785,2.4553785,2.4553785,2.4553785,2.4553785
27,Burkina Faso,5.5062747,5.5444136,5.5825524,5.620692,5.6588306
28,Burundi,2.5353773,3.4604032,2.9782994,3.7159998,3.428814
29,Cabo Verde,5.098288,5.098288,5.098288,5.098288,5.098288
30,Cambodia,4.9125476,4.9125476,4.9125476,4.9125476,4.9125476
31,Cameroon,4.261137,4.256775,4.252413,4.2480507,4.2436886
32,Canada,1.6850086,1.6612545,1.6375005,1.6137465,1.5899925
33,Central African Republic,1.3719981,1.3719981,1.3719981,1.3719981,1.3719981
34,Chad,4.409145,4.409145,4.409145,4.409145,4.409145
35,Chile,2.4270854,2.3784995,2.3299136,2.2813277,2.2327416
36,"China, People's Republic of",4.8466434,4.772199,4.697755,4.6233106,4.5488663
37,Colombia,3.3238592,3.3234222,3.316477,3.30893,3.3013415
38,Comoros,2.7211666,2.7211666,2.7211666,2.7211666,2.7211666
39,"Congo, Dem. Rep. of the",6.4515424,6.561225,6.6709075,6.78059,6.8902726
40,"Congo, Republic of ",1.5005512,1.5005512,1.5005512,1.5005512,1.5005512
41,Costa Rica,3.1693633,3.0818565,3.0118504,2.9558449,2.9110398
42,Croatia,2.3589466,2.3589466,2.3589466,2.3589466,2.3589466
43,Cyprus,3.0965617,3.0965617,3.0965617,3.0965617,3.0965617
44,Czech Republic,2.2882712,2.2882712,2.2882712,2.2882712,2.2882712
45,Côte d'Ivoire,6.128195,6.128195,6.128195,6.128195,6.128195
46,Denmark,1.4878428,1.4719578,1.4560729,1.440188,1.424303
47,Djibouti,4.041472,4.2497,4.457928,4.6661563,4.8743844
48,Dominica,1.9449333,1.9449333,1.9449333,1.9449333,1.9449333
49,Dominican Republic,4.8635507,4.8635507,4.8635507,4.8635507,4.8635507
50,Ecuador,2.6820638,2.6820638,2.6820638,2.6820638,2.6820638
51,Egypt,3.9907544,4.110362,3.9710271,4.037538,3.9408963
52,El Salvador,2.1162093,2.2252483,2.3124812,2.382269,2.4380999
53,Equatorial Guinea,-4.662627,-0.6262597,-1.967973,-1.0321485,-1.1435776
54,Eritrea,2.8386397,2.8572416,2.8764458,2.8958395,2.9153717
55,Estonia,3.5807788,3.5807788,3.5807788,3.5807788,3.5807788
56,Eswatini,2.6673,2.6406593,2.620183,2.5995097,2.579021
57,Ethiopia,9.149857,7.246505,7.119962,7.119962,7.119962
58,Fiji,2.1715753,2.1715753,2.1715753,2.1715753,2.1715753
59,Finland,1.2381599,1.2381599,1.2381599,1.2381599,1.2381599
60,France,1.7135684,1.7135684,1.7135684,1.7135684,1.7135684
61,Gabon,2.5237646,2.5498493,2.575934,2.6020186,2.6281033
62,"Gambia, The",3.6902626,3.6968834,3.7035043,3.7101252,3.716746
63,Georgia,4.6373067,5.2078276,5.7783484,6.3488693,6.91939
64,Germany,1.1774473,1.1730436,1.1686563,1.1642854,1.159931
65,Ghana,5.541983,5.5413136,5.5407777,5.5403485,5.5400057
66,Greece,2.2126539,1.5761622,1.5194522,1.3445561,1.2167162
67,Grenada,3.3083622,3.3083622,3.3083622,3.3083622,3.3083622
68,Guatemala,3.7470968,3.7658238,3.7842221,3.8023016,3.820072
69,Guinea,5.3617945,5.3617945,5.3617945,5.3617945,5.3617945
70,Guinea-Bissau,4.037528,4.0632377,4.0889473,4.114657,4.1403666
71,Guyana,40.484245,40.484245,40.484245,40.484245,40.484245
72,Haiti,0.82841796,0.82841796,0.82841796,0.82841796,0.82841796
73,Honduras,3.7929075,3.8238053,3.8547034,3.8856015,3.9164996
74,Hong Kong SAR,1.5461074,1.362036,1.3510915,1.3211813,1.2940655
75,Hungary,2.7297716,2.7609415,2.7921114,2.8232813,2.8544512
76,Iceland,2.6818376,2.6818376,2.6818376,2.6818376,2.6818376
77,India,6.085458,6.085458,6.085458,6.085458,6.085458
78,Indonesia,5.284356,5.284356,5.284356,5.284356,5.284356
79,Iran,2.392653,2.392653,2.392653,2.392653,2.392653
80,Iraq,2.051258,1.5857805,1.4395394,1.2813011,1.143046
81,Ireland,7.3753304,7.083198,5.5995774,5.2887526,4.8957896
